Date,Type,Details,Fatality
Nov-00,F-16C Block 40G," 	
	
Suffered a mid-air collision with a civilian Cessna 172N (N73829) at 15:56 hours. It happened at 1,200 feet near Sarasota, Florida. The Cessna pilot, Jacques Oliver, was killed. His aircraft came down in a golf coarse. Captain Greg Kreuder tried to take his F-16 for a landing at MacDill AFB, but the engine failed and the cockpit was shattered, forcing him to punch out. The F-16 came down in a wooded area four miles south of the Cessna's. The Cessna pilot never responded to Miami control to help avoid the collision. The F-16 was in a two ship formation on a ground attack training sortie. It turns out the F-16's were using the wrong frequency to contact Tampa, which had control of the airspace. Only Miami was able to keep contact. The aircraft was on loan to the 69 FS at the time of the accident.",0
Jun-09,F-16C Block 40G," 	
	
The aircraft crashed in a remote part of the Utah Test And Training Range at 22:25h local time. The pilot, Captain George Bryan Houghton, was killed in the mishap. The crash was caused by target fixation and disorientation due to low night illumination.",1
Apr-92,F-16C Block 40G," 	
	
Three days prior to the accident the engine was installed by SSgt Al Lynch, SSgt Stewart Baily, SSGT Jim Biggs, Sgt Paula Forness, AIC Jerrod Whittaker and AIC Jason Wollever. After several delays, the aircraft was launched by SSGT Scott Ramsour. The aircraft taxied and went to EOR arm crew. On take-off the engine lost power and the pilot climbed to MSA to bring the aircraft back to the base. The aircraft made an emergency landing attempt and struck the approach overrun area 100 yards short of the runway on the right side. The main landing failed and the aircraft collapsed along with the nose landing gear. The aircraft came to rest between the taxiway and runway after sliding 1,500 feet. The pilot raised the canopy electrically and tried to climb out but couldn't since his G-suite hose was still connected. He was burned and recieved injuries to his back and spine but did survive after being rescued by the fire brigade. The pilot, Captain Mark A. Merkel, was initialy rescued by passing personel. The cause of the accident was determined to be a faulty augmentor fan control unit (AFT).",0
Oct-02,F-16C Block 40G," 	
	
Destroyed in a mid-air collision with F-16C (89-2006). First Lieutenant, Jorma D. Huhtala, was killed in the mid-air. The mishap was caused by the failure of both pilots to properly deconflict their flight paths during a tactical turn. Other contributing factors included: loss of situational awareness, misinterpretation of closure and visual cues, task misprioritization and channelization, and expectancy.",1
Mar-06,F-16C Block 40G,"The pilot, 1st Lt. Jay Bear, was conducting a close-air support training mission over the northern Utah Test and Training Range. He ejected safely. The aircraft went down in a muddy tidal area along one of the islands in the Great Salt Lake. The F-16 suffered an engine failure.",0
Unknown,F-16C Block 40G," 	
During a strafing run, a bullet blew up prematurely causing damage to the airframe. This was repairable.",0
Jan-98,F-16C Block 40G," 	
	
Crashed while on a bombing run at the Test and Training Range, 100 miles west from home base, Hill near Salt Lake City. The pilot, Lieutenant Colonel Judd Kelley, ejected safely. A US Army HH-60 Black Hawk rescued him. The 388th Fighter Wing cancelled all flying for two days. The cause of the crash was due to a missing combustion diffuser pressure seal in the engine. Lack of parts forced the rebuild of the engine to take seven months. Proper daily maintenance logs were not kept to show what work had been preformed. The overheated engine caused it to seize, and no chance for a restart. The aircraft had flown for almost eighteen months without the seal before the crash.",0
Nov-05,F-16C Block 40G," 	
	
While landing in a severe cross wind, the jet departed the runway during landing roll at Osan AB, Korea. Right main landing gear collapsed and was ripped off the aircraft leaving a hole in bulkhead 341 where the strut mounts the clevis. Much more damage was done to the entire airframe. When the engine was removed, pry bars were used to open the CSD door because the standby generator and the system pump had been crushed together. Although a class-A mishap, the aircraft was still repaired and returned to the 36th FS.",0
Feb-94,F-16C Block 40G," 	
	

Heavily damaged at Porotoz, Slovenia during Operation Deny Flight. Pilot ejected safely and aircraft was repaired.
Quote from pilot Andy Uribe, at the time of quote a Lt. Col.

""I was returning from a combat mission over Sarajevo and the aircraft developed an engine problem. I did a flameout landing on a short runway in Slovenia but was unable to stop the jet and ejected as it departed the runway. I was 'detained' by the Slovenians for about three hours, then released.

""When everything was happening I really didn't have any emotions or fear, I was just doing what I had been trained to do. Only when I was sitting on the X-ray table at the hospital did I realize how serious the situation had been. Had all the equipment not functioned perfectly I would have been seriously injured or killed.""",0
Apr-09,F-16C Block 40G,The aircraft slid off the runway at Ogden airport after being diverted there from Hill AFB. The aircraft suffered a malfunction in the nose landing gear. The pilot stayed with the aircraft and exited safely. The targeting pod was damaged and the engine will be replaced and repaired.,0
Sep-96,F-16C Block 40H," 	
	
A tire burst on take-off from Dhahran, Saudi Arabia and engaged the barrier. Damage to the nose, fuselage bottom, undercarriage and speed brakes. It is expected to be repaired. Pilot was OK.",0
Oct-10,F-16C Block 40H," 	
	
Ran off the runway at Bagram AB due to a braking malfunction.",0
Aug-92,F-16C Block 40H," 	
	
Ran off the runway at Bagram AB due to a braking malfunction.",0
May-97,F-16C Block 40H," 	
	
Crashed at Vaughn, New Mexico. Maintainance error caused a compressor blade to seperated from the engine. The pilot, 1st Lt. Paul J. Murray, ejected at around 400 feet without injuries.",0
Apr-99,F-16D Block 42G," 	
	
Crashed 20 miles northwest of Luke AFB on White Tank Mt. Range at 18:05 hours. The cockpit landing gear lights indicated an unsafe undercarriage. While attempting to resolve the problem, the aircraft ran out of fuel. The instructor pilot, Major Kevin Grove, and a German exchange pilot, Captain Stephan Kleinheyer, were recovered safely.",0
Unknown,F-16C Block 42H,Undercarrage retracted while parked. Gear pins were pulled during an ops check.,0
Jun-11,F-16C Block 40H," 	
	
Pilot failed to noticed that #90-0733 had halted on runway before take-off and ran into him. Received extensive damage totaling over $2M. Included damage to nose cone, nose radome, FCR antenna, targeting pod, forward fuselage, bulkhead, canopy, equipment bay door and side access door.",0
Feb-03,F-16C Block 40H,"Jumped the chocks during a hot oil servicing run at Eielson AFB, Alaska and slid 400ft sideways across the ramp on hard packed snow. The aircraft ended up in a balancing act on its nose and starboard wing on the ground and port landing gear in the air. The aircraft was fixed, although there was extensive damage. A ground crew member in the cockpit was fine. A few years later, the aircraft ended up in the exact same position after being tipped over by the engine exhaust of a taxying B-1B.",0
Jun-07,F-16C Block 40H,"Tipped over on its side again this time while taxiing before take off for a Red Flag North sortie. During taxi roll the aircraft wandered behind a B-1B which was spooling up to move out onto the runway. The exhaust of the four engines on the B-1 was powerful enough to blow the aircraft up on two wheels on its right side. This aircraft had previously been on its same side when it went out of control just a few years earlier on February 6, 2003. Just like before the aircraft will be repaired. It is unclear yet if the B-1 applied too much thrust for ground taxiing or the F-16 was out of position.",0
May-01,F-16C Block 40H,"Main gear collapsed and a crewmember was injured by the port wing stabilizer. The tail of the aircraft came down and wrecked the ventral fins. Here are the events as described by that crewmember: ""There had been changes made to the order in which normal maintenance inspections were performed. Basically our normal way of doing things had been changed. These changes are what allowed this mishap to occur. The evening before I reported for work my swing-shift counterpart found a cracked landing gear handle lense. In the course of fixing the handle someone inadvertently left the handle in the up position. Therefore when the pilot started the jet the main landing gear retracted. I received an L2 compression fracture, a dislocated right ankle, and a broken fibula"". This incident happened at Hato, Curaçao. All flying was cancelled for the day. The aircraft was returned to flying status by May 18th, 2001.",0
Sep-11,F-16C Block 42H,"A storm hit Nellis AFB, Nevada on September 8, 2011 at just after 5pm causing a row of aircraft sunshelters to fall striking aircraft and injuring airman. In total eleven F-16s including this one and two A-10s were damaged. Aircraft was quickly repaired.",0
Oct-98,F-16C Block 42H," 	
	
Landed safely after a midair collision with F-16C #88-0414. The other aircraft crashed after the pilot had safely ejected. Cause of the mishap was error due to improper rejoin procedure.",0
Jun-11,F-16C Block 40H," 	
	
Received $589,322 worth of damage after #90-0717 ran into it while on the runway before take-off. Damage to wing box, horizontal stab, fuel tank and targetting pod reported.",0
May-92,F-16C Block 42J," 	
	
Aircraft crashed while returning from a training mission in a remote part of Nevada. The pilot who ejected safely was rescued by a Las Vegas Police helicopter. The aircraft was from Shaw AFB? Need to confirm.",0
Apr-18,F-16C Block 42J,This F-16 departed the runway at Lake Havasu City Municipal Airport on 10:35am local time. The F-16 diverted to the airport during a routine training mission. The aircraft landed on runway 14 but departed the runway for unknown reasons. The pilot ejected safely. The aircraft suffered extensive damage with the cockpit section torn off and substantial damage to the rest of the fuselage. It is considered a write-off.,0
Oct-92,F-16C Block 42J,"Impacted the ground near Shaw AFB, South Carolina. On the return flight of an exercise the pilot, Captain Bradley S. Johnson, noticed fuel issues. He tried to land, but when he saw he couldn't make it, he ejected.",0
Feb-94,F-16C Block 42J," 	
	
Crashed due to an engine fire in Soper, Oklahoma. The pilot ejected safely and walked to the nearest farmhouse for assistance. The crash was the unit's first loss in its entire 54 year history. Cause was that the engine experienced a high cycle fatigue fracture of a fourth stage turbine blade below the blade platform and subsequent damage to the low pressure turbine which made it to stall.",0
Mar-12,F-16C Block 40K," 	
	
The aircraft crashed in a rice paddy near Kunsan AFB around noon. The pilot ejected safely.",0
Nov-06,F-16C Block 40K," 	
	
Went down over Iraq north of Falluja in western Anbar province at 13:35 hours during a combat mission supporting ground forces. The official cause of the accident was ""chanalized attention manifested by the pilots to maintain a constant visual positive identification of targeted enemy vehicles and subsequent target fixation on these vehicles while they were traveling at a high rate of speed"". Unfortunately the pilot, Major Troy L. Gilbert of the 309th FS, was killed in this accident.",1
Jul-04,F-16D Block 40H," 	
	
The aircraft caught fire right after take off from Osan AB. The pilot, Capt. Kermis, circled around and was able to land. The core spray bar broke off and started spraying fuel in the enging bay. Due to the fire the rudder ISA also failed resulting in loss of rudder control during landing. It was a class A mishap but the plane was repaired.",0
Feb-93,F-16D Block 40H," 	
	
Destroyed near Eielson AFB, Alaska. Both crew, pilot Capt. Glen S. Porter and backseat passenger, flight surgeon Maj. Robert D. Verdone, were killed. It has been speculated that during a ground avoidance maneuver the backseater had interfered with the control stick and rudders.",1
Mar-98,F-16D Block 40J," 	
	
Crashed into the Yellow Sea 100 kilometres west of Osan AB, South Korea at 20:52 hours. The aircraft was part of a four-ship formation on a combat training mission. Eleven hours after the mishap, the body of Captain Keith A. Sands was found. United States Air Force, Navy and Korean Air Force helped in the search. Korean Navy minesweepers found the wreckage, but the USS Salvor (ARS-52) salvaged 300 pieces to the aircraft, but lacked one large portion. This mishap was caused by a combination of the pilot unintentionally maneuvering his aircraft in excess of briefed parameters, and personal injuries and equipment damage sustained during the subsequent ejection. The pilot did eject safely, but sustained injuries which let him to pass away while in the water.",1
Feb-00,F-16D Block 40J," 	
	
Crashed eight kilometres north of Donaldsonville, Georgia while on a night goggle training mission out of Moody. The crew of two, Major Charles B. Kearney and First Lieutenant Christopher Hutchins, ejected safely and were picked up by 41st Rescue Squadron SH-60's. The cause of the accident turned out to be a failed high pressure turbine wheel that shelled in flight. The aircraft was lend to the 69 FS at the time of the accident.",0
Jan-94,F-16D Block 40K," 	
	
Suffered an electrical fire on the ground due to chaffing wires under a panel on the aircrafts right side. Was quickly repaired on site at Moody AFB. Happened in January or February 1994.",0
Jun-98,F-16D Block 40K," 	
	
Skidded off the runway and burned out during take-off on a post maintenance test flight. The AOA probe was installed backwards. As soon as the aircraft broke ground the aircraft porpoised up and down the runway. Faulty instrument readings gave the wrong angle of attack to the computer. Air data inputs are used to automatically schedule the leading edge flaps and the AOA limiting is in effect. The pilot, Captain Bryan Nordhelm, managed to eject safely. The pilot attempted to correct the bad data but the computer would not respond. The mishap occurred at Hill AFB, but the aircraft is normally operated by the 347th Wing at Moody AFB, Georgia. It was being worked on for NIVIS lighting upgrade before the CCIP package had been released.",0
Nov-00,F-16C Block 50," 	
	
Collided in mid-air with F-16C (90-0811) over the Sea of Japan. One pilot, Colonel Michael Lepper, was rescued by Japanese forces in an UH-60. He was the commanding officer of the 35th Operations Group. Piloting the other F-16 was Captain Warren B. Sneed who could not be found and is presumed dead. No ejection was seen from this aircraft. Both aircraft were participating in Keen Sword exercise. All Misawa based F-16's were grounded till November 16th.",1
Jul-98,F-16C Block 50,"Unable to become airborne at 09:05 hours, the aircraft ran into the localiser antenna array at the east end of Misawa AB's runway. The pilot, First Lieutenant Brice Simpson ejected, but landed in the flaming wreckage of the air plane, suffering serious burns. On September 17, the pilot died due to his injuries at Brooke Army Medical Center in San Antonio, Texas. The aircraft was based in Japan. The pilot aborted takeoff, but was unaware of the SAFE-BAR system which could have been deployed and caught by an aircraft's dropped tail hook. It was never known why the pilot aborted the takeoff.",1
Aug-00,F-16C Block 52A," 	
	
Mid-air collision with another F-16C (88-0542) from the same squadron. The aircraft, piloted by Major Brandon Sweat, landed safely with minor damage. It was about 17:00 hours near Morman Mesa, which is 50 miles northeast of Nellis. The aircraft were part of a four ship formation. The aircraft was repaired and first noticed in service by August 2001 at Nellis AFB as a detachment from Eglin AFB.",0
Jun-05,F-16C Block 52A ," 	
	
Chalks wash out on F-16C #90-0809 during storm and the aircraft rolled into F-16C #91-0374 causing wing tip missile to puncture 374 right under nose.",0
Nov-00,F-16C Block 50A," 	
	
Collided in mid-air with F-16C (90-0801) over the Sea of Japan. One pilot, Colonel Michael Lepper, was rescued by Japanese forces in an UH-60. He was the commanding officer of the 35th Operations Group. Piloting the other F-16 was Captain Warren B. Sneed who could not be found and is presumed dead. No ejection was seen from this aircraft. Both aircraft were participating in Keen Sword exercise. All Misawa based F-16's were grounded till November 16th.",0
Oct-94,F-16C Block 50B," 	
	
Captain Miguel F. Torrealday ejected safely near Wendover, Utah at 9:59 hours after suffering an engine flame-out at low altitude.",0
Jul-01,F-16C Block 50B," 	
	
Impacted the Atlantic Ocean at 10:40 hours about 40 miles east of Charleston, South Carolina. Pilot, Captain Mitchell Bulmann, was sadly killed. The aircraft was on a air-to-air training mission. Cause is believed to be G-LOC.",1
Feb-94,F-16C Block 50B," 	
Went down near Gatlinburg, Tennessee with the pilot, Captain Michael A. MacWilliam, ejecting safely. He suffered an engine failure during a DACT training.",0
Nov-05,F-16C Block 50B,"This aircraft made an emergency landing Ninoy Aquino Manila International AP, Philippines due to hydraulic problems. Aircraft was on a return leg from Cope India 05 and was not damaged. Volunteers had to be recruited to push the aircraft to it's parkings space on the ramp as the aircraft lost power after landing. A US Air Force C-130 aircraft arrived Thursday 08 Dec at the Ninoy Aquino International Airport (NAIA) Terminal 1 to deliver a new engine for the F-16. It was initially reported that the jet lost its hydraulics and emergency brakes en route to the Misawa Air Base in Japan. Inspection of the jet, piloted by Capt. Justin Dupuis, showed that its engine had to be replaced.",0
May-93,F-16C Block 50B," 	
	
First pre-delivery crash (company acceptance flight). The pilot attempted a split-S at 2,100 feet and was forced to eject at only 680 ft with his nose 40° low. The pilot (LMTAS senior experimental test pilot), Joe Bill Dryden, was killed. The aircraft crashed 20 miles west of Fort Worth near Mineral Wells, Texas. Bill was unable to separate from the ejection seat before impacting.",1
Apr-01,F-16D Block 50A," 	
	
Went down over the Pacific Ocean 12 miles northwest of Misawa, Japan. Pilot, First Lieutenant Mark Hadley, ejected and was rescued by a Japanese military HH-60 after 35 minutes of being in the ater. Cause of the crash was FOD to the engine. This caused a blade from the third stage compressor to come loose which punctured the engine's compressor section. Pilot as a result was unable to re-light the engine. The aircraft was from the 14th FS but the pilot belonged to the 13th FS. In May, 80% of the wreckage was recovered, including the engine. A US Navy diver Seaman Matthew Draughon was killed on May 5th, 2001 during the recovery of debris.",0
Jan-95,F-16D Block 50B,"Crashed near Durbuy (impacted in a sand trap on the Five Nations Golf Course), Belgium while on a routine training mission from Spangdahlem. The two man crew, Capt. Tom Smith and SrA.Jason Fowler, ejected safely. Backseater was an inlisted on an incentive ride. The crashed caused the grounding of all F110-GE-129 powered block 50 aircraft on the fourth day after, January 17th. A three hour inspection of the fan blades on each aircraft were performed because of the engine having defaulted on that. Some aircraft were flyable the same day, while others over the next few days. This mishap was the third in a row in five months.",0
Sep-06,F-16C Block 50B," 	
	
The aircraft suffered a landing gear failure near Spangdahlem AB after hitting an antenna during a landing attempt. It ran out of fuel before the problem could be fixed and the pilot, 1st Lieutenant Trevor Merrell, executed a controlled bailout. The accident was caused by a visual illusion at Spangdahlem AB. The runway has an upslope, making the pilot think he is coming in too high, forcing him to take a lower approach, with all consequences.",0
Oct-19,F-16C Block 50C," 	
	
The aircraft crashed at around 3:15pm local time near the town of Zemmer-Rodt.",0
Oct-93,F-16C Block 50C," 	
	
The aircraft crashed at 18:30 hours on a delivery flight at Remsen, near Griffiss AFB, New York. Air Force investigators have concluded that night fog and a blown fuse in instruments that receive landing information were the cause of the crash. Because of this situation the pilot had to divert, but the engine cut due to fuel starvation. The pilot, Captain Robert 'Rob' Swaringen, ejected safely. The F-16 cut a 1,000-foot swath through the trees off Joslyn Road before coming to rest in a fiery heap 500 feet from the home of Nick and Diane Polce. The aircraft was being delivered from Fort Worth, Texas to the 23rd FS in Spangdahlem AB, Germany.",0
Jul-96,F-16C Block 50C," 	
	
Crashed about 15:30 hours into a house in Pensacola, Florida, following an engine failure 20 miles north of Pensacola while on route from Shaw AFB to Eglin AFB to avoid hurricane Bertha. The pilot was forced to eject two miles short of the runway. A child in the house was killed. A man and woman in the house suffered burns. The pilot ejected safely. The accident investigation showed foreign object damage to a fan blade caused a crack seven thousands of an inch (too small to visually spot). The blade was ingested into the engine. The engine had failed three times during the flight with two relighting's. With the third engine failure the pilot ditched the aircraft into what he hoped was an unpopulated area, and ejected at only 200 feet.",0
Aug-09,F-16C Block 50D," 	
	
During a night training sortie #91-0364 collided with #91-0365 over the Atlantic Ocean approx 126 nautical miles southeast of Shaw AFB. The aircraft suffered moderate damage to flight control surfaces and external stores. The jet recovered to Charleston AFB. #91-0365 crashed after the impact and was destroyed.",0
Oct-09,F-16C Block 50D," 	
	
During a night training sortie #91-0365 collided with #91-0364 over the Atlantic Ocean approximately 126 nautical miles southeast of Shaw AFB. The pilot did not survive the collision",1
Aug-15,F-16C Block 50D,The pilot ejected safely after he jettisoned fuel tanks as part of emergency procedures. The aircraft went down in a forested area in southern Germany near U.S. Army Garrison Bavaria in Grafenwoehr during a training sortie from Spangdahlem AB. The cause was later determined that a structural failure of the bearing cage caused the engine control to malfunction.,0
Jun-05,F-16C Block 52D," 	
	
Chalks wash out on F-16C #90-0809 during storm and the aircraft rolled into F-16C #91-0374 causing wing tip missile to puncture 374 right under nose. Unknown if the aircraft was marked 53 TEG at the time or not.",0
Dec-14,F-16C Block 50D," 	
	
Crashed at around 23:00 local right after take off from a fighter base in Jordan (probably Azraq AB) killing the pilot, Capt. William H. “Pyro” Dubois.",1
Jan-02,F-16C Block 50D," 	
	

Struck by lightning during a sand storm while deployed for OSW. Was the lead aircraft of a two ship formation at an altitude of 35,000 to 40,000 feet when the wall of sand surrounded the aircraft and there was nowhere to go but through the storm. When the lightning strike occurred, the airspeed dropped to zero and the aircraft fell into a flat spint in the orange sand sky. Fortunately the pilot recovered but bottomed out at an altitude of only 500 feet.
Chris, the Crew Chief of #377 describes the experience: ""We got the squacks saying my jet was code three for a lightning strike and the other was code one. That was strange to me because there really wasn't too much lightning out there and I had never seen a jet get struck by lightning. Anyway when the jet came in 15-20 minutes later, I noticed immediately something wrong, the ECM pod nose cone was gone! I hooked up the comm cord and said to the pilot like I always do ""How are you doing Sir' did you have a good flight?"" The only words out of his mouth were ""I almost died, your jet saved me, if you could get me out as fast as you can."" So as normal I shut him down, and it wasn't till I got a closer look that I noticed all kinds of things wrong; all of the leading edge tape was gone, the static dischargers broke off, the electronic nose cones of the cluster bombs he was carrying were gone and because it was our squadron jet, all the probes that I had polished were sandblastedâ€¦ After that we had nothing but problems, a standby generator problem which ended up being the harness through the 341 bulkhead, a FLCS problem which was a harness in the right strake and a few flights later tension strut bushing problems that are still going on to this day.""",0
Mar-07,F-16C Block 52D," 	
	
The aircraft crashed at 20:50 hours local near the end of the runway, while on approach to the Tonopah Test Range Airfield, approximately 20 miles southeast of Tonopah. The aircraft was flying a night training mission over the restricted Nevada Test and Training Range when his AB was stuck. The pilot tried to make an emergency landing but the lights at the airfield didn't come on, so he tried it with his NVG's. Right before he came in, the runway lights came on and he was blinded. He then saw he was short and after he took off the NVG's he ejected safely. Pilot was Maj. David Epperson.",0
Jul-98,F-16C Block 50D," 	
	
Crashed 19 kilometres off the coast of Myrtle Beach, South Carolina. The F-16 was in a simulated air-to-air combat training exercise from Shaw AFB. The pilot, Captain James Sevick, ejected safely and was subsequently rescued by a Coast Guard helicopter. In August the wreckage of the aircraft was recovered from a depth of fifty feet. Cause of the crash was a faulty bearing in the engine which controls airflow. The result was low thrust and inability to retain altitude. Wreckage kept at Shaw AFB.",0
Mar-04,F-16C Block 50D," 	
	
Suffered a mid-air with F-16C (#97-0109) at approximately 14:40 hours, 35 miles southeast of Myrtle Beach, South Carolina. Both aircraft landed safely",0
Nov-16,F-16C Block 50D," 	
	
Aircraft suffered an electrical overflow which 'fried' its hardware",0
Aug-04,F-16C Block 50D," 	
	
The pilot switched to battery power during a recovery operation and EPU fired.",0
Apr-18,F-16C Block 52D," 	
	
Crashed at the Nevada Test & Training Range at 10:30am local time, killing the pilot, Maj. Stephen Del Bagno. Accident was caused by temporarily loss of consciousness during a high G-force maneuver.",1
Mar-02,F-16C Block 50D," 	
	
Crashed while performing a PAR approach at night at Spangdahlem AB near Lancheid, Germany. Pilot, Captain Luke Johnson, was killed in the crash",1
Jun-17,F-16D Block 52D," 	
	
After landing and upon taxiing at Dayton AP the aircraft was hit by a gust of wind and flipped over. Both occupants, pilot Capt. Erik Gonsalves and passenger TSgt. Kenneth Cordova were transported to hospital but released a couple of days after.",0
Apr-05,F-16D Block 50D,"Crashed into a marshland area next to Ashley River near Charleston, South Carolina at about 5 pm local time. The aircraft was from the 55th FS but the crew were from the 77th FS. Both of them (Major Steve Granger and Lt.Col. Maurice Salcedo) ejected safely and walked away but were examined at hospital as a precaution. The aircraft was on a routine training mission when it lost engine power.",0
Sep-11,F-16D Block 52D," 	
	
A storm hit Nellis AFB, Nevada on September 8, 2011 at just after 5pm causing a row of aircraft sunshelters to fall striking aircraft and injuring airman. In total eleven F-16s including this one and two A-10s were damaged.",0
Nov-06,F-16D Block 52D," 	
	
Smoke filled the cockpit forcing the pilot to make an emergancy landing at Hakodate Airport at around 9:56 hours local. Pilot and aircraft are ok. The cause is still unknown.",0
Sep-11,F-16D Block 52D," 	
	
A storm hit Nellis AFB, Nevada on September 8, 2011 at just after 5pm causing a row of aircraft sunshelters to fall striking aircraft and injuring airman. In total eleven F-16s including this one and two A-10s were damaged.",0
Sep-06,F-16B Block 15AR OCU," 	
	
Right main gear wouldn't lock in the down position. After two hours spent working the problem pilot landed at Edwards AFB, California. The aircraft skidded down the runway with the right wing on the ground. Ultimately the aircraft stopped facing the opposite direction. Pilot was fine, no ejection was required. Exact date is unclear but was between the 10th and 16th of September. Will be repaired shortly.",0
Jul-12,F-16C Block 50P," 	
	
The F-16 crashed into the Pacific Ocean off the coast of northern Japan. The pilot ejected and was rescued six hours later. AIB investigation shows that an uncommanded closure of the main fuel shutoff valve caused the engine to be starved of fuel.",0
Dec-95,F-16C Block 50P," 	
	
The aircraft made a landing on the runway at Misawa AB with no nose gear when the nose strut refused to extend on approach. The pilot landed it perfectly on the main gear and touched it down on the ECM pod. The pod saved the aircraft form exstensive frame damage and also saved the HTS pod from being wrecked. The cause was found to be a misinstalled torque link pin from that mornings tow out of the HAS. The strut extended on takeoff and it became jammed in the nose well keeping the nose gear from extending.",0
Aug-04,F-16C Block 52P," 	
	
Returned from a training flight code one in Japan during a TDY. Taxiing back to it's parking spot the aircraft hit a pot hole causing a short in the ECM pod adapter. That resulted in sparks starting a fire. The aircraft was taken apart and shipped back in March 2005 to Mountain Home AFB and repaired by a team from Hill AFB. By July 2005 the aircraft was finally repaired and after a few test flights and scheduled upgrades was back in service. Mishap was graded a class A but was later downgraded to a class B. The aircraft was flown back to the United States aboard a C-5.",0
Jun-16,F-16C Block 52P," 	
	
The jet collided with a 157th FS sistership (#93-0531) above a military operating area near Jefferson County, Georgia during a routine exercise. Both pilots ejected safely.",0
Jan-99,F-16c Block 50P," 	
	
Went down in mountainous forest near the city of Kamaishshi, in the northern part of Japan. The crash occurred at 13:30 hours and 85 miles south of Misawa AB. The aircraft was on a training mission. Cause of the crash was human error. A malfunctioning G-suit distracted the pilot who gave it an inspection. The aircraft at the time was 418 at only 3,300 feet. When the pilot returned his attention to flying, he found a wind screen full of the terrane of a ridge. He pulled back on the stick, but flew straight through the trees on the ridge. The cut was 85 feet long, 35 feet wide and just 20 feet above the ground. Forty-five seconds after hitting the trees, the pilot ejected safely.",0
Jul-07,F-16C Block 50P," 	
	
Lost during takeoff from Balad AB, Iraq at 16.55 hours with the pilot managing to eject safely. Accident investigation found that the nose gear tire was at low pressure and maintenance failed to properly check the tire pressure. During takeoff roll the nose gear tire blew when the aircraft reached 150 mph. Pilot heard the pop and thought it was an engine failure so aborted the take-off even though at high speed and running out of runway. Shortly after the nose gear collapsed and due to sever lack of control the pilot (also a commander) elected to eject. Aircraft continued another 2000 feet until it went off the runway where it tumbled end-over-end coming to rest upside down. Fire erupted and the 20mm rounds cooked off.",0
Jul-13,F-16C Block 50P," 	
	
The aircraft skidded off the runway at Osan AB at 18:07 local after the right main landing gear collapsed upon landing. The pilot escaped with minor injuries.",0
Apr-02,F-16C Block 50P," 	
	
The aircraft crashed at 11:29 am at about 1.6 miles northeast of the town of Tanosawa, Japan. The pilot, Maj. Chad Miller, ejected from the aircraft with minor injuries. Approximately 15 minutes after beginning a qualification training upgrade mission, Miller reported an engine problem. He immediately turned toward land and attempted to restart the engine four times without success. He turned the aircraft parallel to the coast away from populated areas and then ejected. The aircraft was destroyed upon impact with the water. Based on evidence obtained during the investigation, the accident investigation board president's opinion is that a fatigue crack had developed in a high-pressure turbine blade. The crack caused a portion of the blade to fall off that then caused catastrophic damage and failure of the remaining turbine blades. Once the turbines failed, the engine could no longer produce thrust, continue to operate or be restarted. ",0
Mar-05,F-16D Block 52P,Crashed at the end of the runway at 8:34am while attemtping to land at Nellis AFB. The pilot ejected safely but was taken to the hospital to be treated for scratches. A briefcase got loose on the back-seat and jammed the throttle making it unable for the pilot to shut down the afterburner. The accident happened because the pilot failed to comply with emergency procedures.,0
Jun-16,F-16C Block 52Q," 	
	
The jet collided with a 157th FS sistership (#92-3899) above a military operating area near Jefferson County, Georgia during a routine exercise. Both pilots ejected safely.",0
Mar-00,F-16C Block 50Q," 	
	
Impacted the ground coming out of a loop at the Kingsville air show in Texas. The aircraft was from Shaw AFB, South Carolina. Pilot, Major Brison Phillips, did not eject. Six minutes into the scripted airshow the pilot executed a double Immelman maneuver to 21 seconds inverted followed by a split S maneuver. The inverted maneuver was standard to maintain position with ground references and the show line. Due to strong winds and unfamiliar ground references, the pilot channelized his atention on the ground references and the show line but not at his power setting en 12° dive angle. Higher than normal power and the dive caused him to descend rapidly from 6,300 feet to 4,200 feet and accelerate from 132 knots to 444 knots. The pilot recognized this and pulled maximum G's but impacted the ground",1
Nov-98,F-16C Block 50Q," 	
	
Commander of the 55th Fighter Squadron ejected from this F-16 at Shaw AFB, South Carolina. Lieutenant Colonel Robert Harvey survived the ejection which occurred about 15:00 hours. The pilot ejected under a minute after takeoff. Cause of the crash was due to engine fuel control problems from a faulty AC generator which gave wrong signals to the Digital Engine Control (DEC). Just after the pilot left the aircraft, the engine regained power and flew for an additional thirty seconds before impacting the ground two miles from the end of the runway.",0
Apr-06,F-16C Block 50Q," 	
	
At around 17:40 hours - while on a two ship training mission over the Atlantic, 30 miles off the coast of South Carolina - this F-16 went down. The other pilot in the flight saw the ejection and a parachute open but it was not untill 19:35 hours that the pilot, Captain Theodore 'Ted' Shultz, was rescued by the US Coast Guard. The cause of the crash was determined to be a G-LOC incidence.",0
Nov-08,F-16C Block 50Q,"Destroyed on the ground when a fire broke out while the engine was running at Balad AB, Iraq. Pilot opened the canopy and escaped without any issues. Fire destroyed a lot of the fuselage and warped the right wing. Investigation and details pending.",0
Sep-05,F-16C Block 50,Suffered a fire in the exhaust during take off from Shaw AFB and the pilot jettisoned the tanks over civilian land. The aircraft landed safely and was repaired.,0
Jul-15,F-16C Block 50,"This F-16 collided with a Cessna C 150 midair about 11 miles north of Charleston, South Carolina on July 7th, 2015.",0
